event,lang,method,input,output,score,time_ms
diacritics_applied,spanish,fuzzy_match,thank y0u,Gracias,0.8888888888888888,0
diacritics_applied,french,exact_match,how are you?,Comment ça va?,,0
diacritics_applied,french,exact_match,how are you?,Comment ça va?,,0
diacritics_applied,swahili,fuzzy_match,i aam leaarning,Ninajifunza,0.9285714285714286,0
diacritics_applied,vietnamese,fuzzy_match,how @re you?,Bạn khỏe không?,0.9166666666666666,0
diacritics_applied,spanish,fuzzy_match,godo morning,Buenos días,0.9166666666666666,0
diacritics_applied,swahili,fuzzy_match,thankyou,Asante,0.9411764705882353,0
diacritics_applied,arabic,fuzzy_match,hll,السلام عليكم,0.75,0
diacritics_applied,igbo,fuzzy_match,how are you???,Kedu?,0.9230769230769231,0
diacritics_applied,yoruba,fuzzy_match,i aam leaarning,Mo ń kọ́ ẹ̀kọ́,0.9285714285714286,0
diacritics_applied,vietnamese,fuzzy_match,how aare you?,Bạn khỏe không?,0.96,0
diacritics_applied,german,fuzzy_match,good morninggg,Guten Morgen,0.9230769230769231,0
diacritics_applied,igbo,exact_match,how are you?,Kedu?,,0
diacritics_applied,igbo,exact_match,how are you?,Kedu?,,0
diacritics_applied,portuguese,fuzzy_match,how are you???,Como você está?,0.9230769230769231,0
diacritics_applied,vietnamese,fuzzy_match,hellooo,Xin chào,0.8333333333333334,0
diacritics_applied,hausa,fuzzy_match,gd mrnng,Ina kwana,0.8,0
diacritics_applied,hausa,fuzzy_match,goodmorning,Ina kwana,0.9565217391304348,0
diacritics_applied,arabic,fuzzy_match,how aare you?,كيف حالك؟,0.96,0
diacritics_applied,vietnamese,fuzzy_match,thnk y,Cảm ơn,0.8,0
diacritics_applied,arabic,fuzzy_match,hell0,السلام عليكم,0.8,0
diacritics_applied,portuguese,fuzzy_match,hell0,Olá,0.8,0
diacritics_applied,portuguese,fuzzy_match,gd mrnng,Bom dia,0.8,0
diacritics_applied,swahili,fuzzy_match,good morninggg,Habari ya asubuhi,0.9230769230769231,0
diacritics_applied,yoruba,fuzzy_match,i ma learning,Mo ń kọ́ ẹ̀kọ́,0.9230769230769231,0
diacritics_applied,portuguese,fuzzy_match,goodmorning,Bom dia,0.9565217391304348,0
diacritics_applied,french,fuzzy_match,thnk y,Merci,0.8,0
diacritics_applied,french,fuzzy_match,goodmorning,Bonjour,0.9565217391304348,0
diacritics_applied,igbo,fuzzy_match,g00d m0rning,Ụtụtụ ọma,0.75,0
diacritics_applied,spanish,fuzzy_match,i aam leaarning,Estoy aprendiendo,0.9285714285714286,0
diacritics_applied,vietnamese,fuzzy_match,good morninggg,Chào buổi sáng,0.9230769230769231,0
diacritics_applied,portuguese,fuzzy_match,iamlearning,Estou aprendendo,0.9166666666666666,0
diacritics_applied,french,exact_match,thank you,Merci,,0
diacritics_applied,french,exact_match,thank you,Merci,,0
diacritics_applied,german,exact_match,thank you,Danke,,0
diacritics_applied,german,exact_match,thank you,Danke,,0
diacritics_applied,hausa,exact_match,thank you,Na gode,,0
diacritics_applied,hausa,exact_match,thank you,Na gode,,0
diacritics_applied,swahili,fuzzy_match,thnk y,Asante,0.8,0
diacritics_applied,igbo,fuzzy_match,thank y0u,Daalụ,0.8888888888888888,0
diacritics_applied,hausa,fuzzy_match,th@nk you,Na gode,0.8888888888888888,0
diacritics_applied,german,exact_match,hello,Hallo,,0
diacritics_applied,german,exact_match,hello,Hallo,,0
diacritics_applied,igbo,fuzzy_match,hll,Ndewo,0.75,0
diacritics_applied,igbo,exact_match,i am learning,A na m amụta,,0
diacritics_applied,igbo,exact_match,i am learning,A na m amụta,,0
diacritics_applied,hausa,fuzzy_match,thaank you,Na gode,0.9473684210526315,0
diacritics_applied,yoruba,fuzzy_match,i am learninggg,Mo ń kọ́ ẹ̀kọ́,0.9285714285714286,0
diacritics_applied,igbo,fuzzy_match,gd mrnng,Ụtụtụ ọma,0.8,0
diacritics_applied,arabic,fuzzy_match,hellooo,السلام عليكم,0.8333333333333334,0
diacritics_applied,arabic,exact_match,how are you?,كيف حالك؟,,0
diacritics_applied,arabic,exact_match,how are you?,كيف حالك؟,,0
diacritics_applied,yoruba,fuzzy_match,thaank you,Ẹ ṣé,0.9473684210526315,0
diacritics_applied,swahili,fuzzy_match,goodmorning,Habari ya asubuhi,0.9565217391304348,0
diacritics_applied,swahili,fuzzy_match,i @m le@rning,Ninajifunza,0.8461538461538461,0
diacritics_applied,swahili,exact_match,hello,Hujambo,,0
diacritics_applied,swahili,exact_match,hello,Hujambo,,0
diacritics_applied,igbo,fuzzy_match,thaank you,Daalụ,0.9473684210526315,0
diacritics_applied,swahili,fuzzy_match,hellooo,Hujambo,0.8333333333333334,0
diacritics_applied,igbo,fuzzy_match,thank youuu,Daalụ,0.9,0
diacritics_applied,portuguese,fuzzy_match,how aare you?,Como você está?,0.96,0
diacritics_applied,portuguese,fuzzy_match,thnk y,Obrigado/Obrigada,0.8,0
diacritics_applied,spanish,exact_match,how are you?,¿Cómo estás?,,0
diacritics_applied,spanish,exact_match,how are you?,¿Cómo estás?,,0
diacritics_applied,hausa,fuzzy_match,thank y0u,Na gode,0.8888888888888888,0
diacritics_applied,french,fuzzy_match,hell0,Bonjour,0.8,0
diacritics_applied,arabic,fuzzy_match,ho ware you?,كيف حالك؟,0.9166666666666666,0
diacritics_applied,swahili,fuzzy_match,i am learninggg,Ninajifunza,0.9285714285714286,0
diacritics_applied,vietnamese,fuzzy_match,goodmorning,Chào buổi sáng,0.9565217391304348,0
diacritics_applied,swahili,fuzzy_match,i ma learning,Ninajifunza,0.9230769230769231,0
diacritics_applied,swahili,fuzzy_match,th@nk you,Asante,0.8888888888888888,0
diacritics_applied,spanish,fuzzy_match,hell0,Hola,0.8,0
diacritics_applied,vietnamese,exact_match,how are you?,Bạn khỏe không?,,0
diacritics_applied,vietnamese,exact_match,how are you?,Bạn khỏe không?,,0
diacritics_applied,portuguese,fuzzy_match,ho ware you?,Como você está?,0.9166666666666666,0
diacritics_applied,arabic,fuzzy_match,gd mrnng,صباح الخير,0.8,0
diacritics_applied,igbo,exact_match,good morning,Ụtụtụ ọma,,0
diacritics_applied,igbo,exact_match,good morning,Ụtụtụ ọma,,0
diacritics_applied,yoruba,exact_match,hello,Báwo,,0
diacritics_applied,yoruba,exact_match,hello,Báwo,,0
diacritics_applied,vietnamese,fuzzy_match,hll,Xin chào,0.75,0
diacritics_applied,swahili,fuzzy_match,how @re you?,Habari gani?,0.9166666666666666,0
diacritics_applied,spanish,fuzzy_match,gd mrnng,Buenos días,0.8,0
diacritics_applied,vietnamese,fuzzy_match,hell0,Xin chào,0.8,0
diacritics_applied,spanish,fuzzy_match,how are you,¿Cómo estás?,0.9565217391304348,0
diacritics_applied,spanish,fuzzy_match,thank youuu,Gracias,0.9,0
diacritics_applied,german,exact_match,how are you?,Wie geht's?,,0
diacritics_applied,german,exact_match,how are you?,Wie geht's?,,0
diacritics_applied,spanish,fuzzy_match,good morninggg,Buenos días,0.9230769230769231,0
diacritics_applied,french,fuzzy_match,godo morning,Bonjour,0.9166666666666666,0
diacritics_applied,hausa,fuzzy_match,thank youuu,Na gode,0.9,0
diacritics_applied,arabic,fuzzy_match,thank y0u,شكراً,0.8888888888888888,0
diacritics_applied,french,exact_match,i am learning,J'apprends,,0
diacritics_applied,french,exact_match,i am learning,J'apprends,,0
diacritics_applied,igbo,fuzzy_match,how aare you?,Kedu?,0.96,0
diacritics_applied,igbo,fuzzy_match,good morninggg,Ụtụtụ ọma,0.9230769230769231,0
diacritics_applied,french,fuzzy_match,how @re you?,Comment ça va?,0.9166666666666666,0
diacritics_applied,arabic,fuzzy_match,iamlearning,أنا أتعلم,0.9166666666666666,0
diacritics_applied,french,fuzzy_match,h0w are y0u?,Comment ça va?,0.8333333333333334,0
diacritics_applied,vietnamese,fuzzy_match,iamlearning,Tôi đang học,0.9166666666666666,0
diacritics_applied,hausa,fuzzy_match,i @m le@rning,Ina koyo,0.8461538461538461,0
diacritics_applied,hausa,fuzzy_match,godo morning,Ina kwana,0.9166666666666666,0
diacritics_applied,yoruba,fuzzy_match,g00d m0rning,Ẹ káàrọ̀,0.75,0
diacritics_applied,portuguese,fuzzy_match,good morninggg,Bom dia,0.9230769230769231,0
diacritics_applied,spanish,exact_match,good morning,Buenos días,,0
diacritics_applied,spanish,exact_match,good morning,Buenos días,,0
diacritics_applied,vietnamese,fuzzy_match,thnak you,Cảm ơn,0.8888888888888888,0
diacritics_applied,igbo,fuzzy_match,i aam leaarning,A na m amụta,0.9285714285714286,0
diacritics_applied,french,fuzzy_match,thaank you,Merci,0.9473684210526315,0
diacritics_applied,spanish,fuzzy_match,h0w are y0u?,¿Cómo estás?,0.8333333333333334,0
diacritics_applied,spanish,fuzzy_match,thankyou,Gracias,0.9411764705882353,0
diacritics_applied,portuguese,fuzzy_match,thaank you,Obrigado/Obrigada,0.9473684210526315,0
diacritics_applied,swahili,fuzzy_match,thank youuu,Asante,0.9,0
diacritics_applied,igbo,fuzzy_match,how are you,Kedu?,0.9565217391304348,0
diacritics_applied,vietnamese,fuzzy_match,i ma learning,Tôi đang học,0.9230769230769231,0
diacritics_applied,german,fuzzy_match,thankyou,Danke,0.9411764705882353,0
diacritics_applied,vietnamese,fuzzy_match,thankyou,Cảm ơn,0.9411764705882353,0
diacritics_applied,german,fuzzy_match,goodmorning,Guten Morgen,0.9565217391304348,0
diacritics_applied,hausa,exact_match,i am learning,Ina koyo,,0
diacritics_applied,hausa,exact_match,i am learning,Ina koyo,,0
diacritics_applied,french,fuzzy_match,ho ware you?,Comment ça va?,0.9166666666666666,0
diacritics_applied,spanish,exact_match,i am learning,Estoy aprendiendo,,0
diacritics_applied,spanish,exact_match,i am learning,Estoy aprendiendo,,0
diacritics_applied,arabic,exact_match,good morning,صباح الخير,,0
diacritics_applied,arabic,exact_match,good morning,صباح الخير,,0
diacritics_applied,german,exact_match,good morning,Guten Morgen,,0
diacritics_applied,german,exact_match,good morning,Guten Morgen,,0
diacritics_applied,swahili,exact_match,i am learning,Ninajifunza,,0
diacritics_applied,swahili,exact_match,i am learning,Ninajifunza,,0
diacritics_applied,igbo,exact_match,thank you,Daalụ,,0
diacritics_applied,igbo,exact_match,thank you,Daalụ,,0
diacritics_applied,portuguese,exact_match,thank you,Obrigado/Obrigada,,0
diacritics_applied,portuguese,exact_match,thank you,Obrigado/Obrigada,,0
diacritics_applied,yoruba,exact_match,i am learning,Mo ń kọ́ ẹ̀kọ́,,0
diacritics_applied,yoruba,exact_match,i am learning,Mo ń kọ́ ẹ̀kọ́,,0
diacritics_applied,french,fuzzy_match,how aare you?,Comment ça va?,0.96,0
diacritics_applied,spanish,fuzzy_match,ho ware you?,¿Cómo estás?,0.9166666666666666,0
diacritics_applied,hausa,exact_match,good morning,Ina kwana,,0
diacritics_applied,hausa,exact_match,good morning,Ina kwana,,0
diacritics_applied,german,fuzzy_match,gd mrnng,Guten Morgen,0.8,0
diacritics_applied,portuguese,fuzzy_match,i am learninggg,Estou aprendendo,0.9285714285714286,0
diacritics_applied,arabic,fuzzy_match,i am learninggg,أنا أتعلم,0.9285714285714286,0
diacritics_applied,spanish,fuzzy_match,thnak you,Gracias,0.8888888888888888,0
diacritics_applied,german,fuzzy_match,thank youuu,Danke,0.9,0
diacritics_applied,french,fuzzy_match,thank youuu,Merci,0.9,0
diacritics_applied,igbo,fuzzy_match,th@nk you,Daalụ,0.8888888888888888,0
diacritics_applied,portuguese,fuzzy_match,how are you,Como você está?,0.9565217391304348,0
diacritics_applied,hausa,fuzzy_match,good morninggg,Ina kwana,0.9230769230769231,0
diacritics_applied,yoruba,fuzzy_match,h0w are y0u?,Báwo ní?,0.8333333333333334,0
diacritics_applied,german,fuzzy_match,i aam leaarning,Ich lerne,0.9285714285714286,0
diacritics_applied,french,exact_match,good morning,Bonjour,,0
diacritics_applied,french,exact_match,good morning,Bonjour,,0
diacritics_applied,german,fuzzy_match,thnak you,Danke,0.8888888888888888,0
diacritics_applied,german,fuzzy_match,g00d m0rning,Guten Morgen,0.75,0
diacritics_applied,hausa,exact_match,how are you?,Lafiya lau?,,0
diacritics_applied,hausa,exact_match,how are you?,Lafiya lau?,,0
diacritics_applied,hausa,fuzzy_match,g00d m0rning,Ina kwana,0.75,0
diacritics_applied,german,fuzzy_match,i ma learning,Ich lerne,0.9230769230769231,0
diacritics_applied,vietnamese,fuzzy_match,gd mrnng,Chào buổi sáng,0.8,0
diacritics_applied,yoruba,fuzzy_match,good morninggg,Ẹ káàrọ̀,0.9230769230769231,0
diacritics_applied,hausa,fuzzy_match,how are you,Lafiya lau?,0.9565217391304348,0
diacritics_applied,portuguese,fuzzy_match,g00d m0rning,Bom dia,0.75,0
diacritics_applied,spanish,fuzzy_match,i am learninggg,Estoy aprendiendo,0.9285714285714286,0
diacritics_applied,german,fuzzy_match,hell0,Hallo,0.8,0
diacritics_applied,french,fuzzy_match,thankyou,Merci,0.9411764705882353,0
diacritics_applied,portuguese,fuzzy_match,thankyou,Obrigado/Obrigada,0.9411764705882353,0
diacritics_applied,spanish,fuzzy_match,th@nk you,Gracias,0.8888888888888888,0
diacritics_applied,hausa,fuzzy_match,thnk y,Na gode,0.8,0
diacritics_applied,yoruba,fuzzy_match,thank y0u,Ẹ ṣé,0.8888888888888888,0
diacritics_applied,yoruba,fuzzy_match,thnk y,Ẹ ṣé,0.8,0
diacritics_applied,swahili,fuzzy_match,iamlearning,Ninajifunza,0.9166666666666666,0
diacritics_applied,vietnamese,exact_match,i am learning,Tôi đang học,,0
diacritics_applied,vietnamese,exact_match,i am learning,Tôi đang học,,0
diacritics_applied,arabic,fuzzy_match,i @m le@rning,أنا أتعلم,0.8461538461538461,0
diacritics_applied,igbo,fuzzy_match,hellooo,Ndewo,0.8333333333333334,0
diacritics_applied,portuguese,exact_match,hello,Olá,,0
diacritics_applied,portuguese,exact_match,hello,Olá,,0
diacritics_applied,swahili,fuzzy_match,how are you???,Habari gani?,0.9230769230769231,0
diacritics_applied,yoruba,fuzzy_match,hell0,Báwo,0.8,0
diacritics_applied,french,fuzzy_match,g00d m0rning,Bonjour,0.75,0
diacritics_applied,swahili,fuzzy_match,hll,Hujambo,0.75,0
diacritics_applied,yoruba,fuzzy_match,how @re you?,Báwo ní?,0.9166666666666666,0
diacritics_applied,portuguese,fuzzy_match,i aam leaarning,Estou aprendendo,0.9285714285714286,0
diacritics_applied,german,fuzzy_match,how aare you?,Wie geht's?,0.96,0
diacritics_applied,german,fuzzy_match,ho ware you?,Wie geht's?,0.9166666666666666,0
diacritics_applied,arabic,exact_match,hello,السلام عليكم,,0
diacritics_applied,arabic,exact_match,hello,السلام عليكم,,0
diacritics_applied,spanish,fuzzy_match,goodmorning,Buenos días,0.9565217391304348,0
diacritics_applied,french,fuzzy_match,gd mrnng,Bonjour,0.8,0
diacritics_applied,portuguese,exact_match,i am learning,Estou aprendendo,,0
diacritics_applied,portuguese,exact_match,i am learning,Estou aprendendo,,0
diacritics_applied,german,fuzzy_match,th@nk you,Danke,0.8888888888888888,0
diacritics_applied,arabic,fuzzy_match,thnk y,شكراً,0.8,0
diacritics_applied,igbo,fuzzy_match,i am learninggg,A na m amụta,0.9285714285714286,0
diacritics_applied,portuguese,fuzzy_match,thnak you,Obrigado/Obrigada,0.8888888888888888,0
diacritics_applied,igbo,fuzzy_match,ho ware you?,Kedu?,0.9166666666666666,0
diacritics_applied,german,fuzzy_match,how @re you?,Wie geht's?,0.9166666666666666,0
diacritics_applied,portuguese,fuzzy_match,i ma learning,Estou aprendendo,0.9230769230769231,0
