word,meaning,pos,example,unit,lesson_id,lesson_title
Nig_word2a,meaning 2a,noun,Example sentence with Nig_word2a.,3,Nigerian Pidgin-A2-u3-l2,Lesson 2 — Practice
Nig_word2b,meaning 2b,verb,Example sentence with Nig_word2b.,3,Nigerian Pidgin-A2-u3-l2,Lesson 2 — Practice
Nig_word3a,meaning 3a,noun,Example sentence with Nig_word3a.,3,Nigerian Pidgin-A2-u3-l3,Lesson 3 — Dialogue
Nig_word3b,meaning 3b,verb,Example sentence with Nig_word3b.,3,Nigerian Pidgin-A2-u3-l3,Lesson 3 — Dialogue
Nig_word4a,meaning 4a,noun,Example sentence with Nig_word4a.,3,Nigerian Pidgin-A2-u3-l4,Lesson 4 — Pronunciation
Nig_word4b,meaning 4b,verb,Example sentence with Nig_word4b.,3,Nigerian Pidgin-A2-u3-l4,Lesson 4 — Pronunciation
Nig_word5a,meaning 5a,noun,Example sentence with Nig_word5a.,3,Nigerian Pidgin-A2-u3-l5,Lesson 5 — Culture
Nig_word5b,meaning 5b,verb,Example sentence with Nig_word5b.,3,Nigerian Pidgin-A2-u3-l5,Lesson 5 — Culture
Nig_word6a,meaning 6a,noun,Example sentence with Nig_word6a.,3,Nigerian Pidgin-A2-u3-l6,Lesson 6 — Review
Nig_word6b,meaning 6b,verb,Example sentence with Nig_word6b.,3,Nigerian Pidgin-A2-u3-l6,Lesson 6 — Review
Nig_word1a,meaning 1a,noun,Example sentence with Nig_word1a.,4,Nigerian Pidgin-A2-u4-l1,Lesson 1 — Basics
Nig_word1b,meaning 1b,verb,Example sentence with Nig_word1b.,4,Nigerian Pidgin-A2-u4-l1,Lesson 1 — Basics
Nig_word2a,meaning 2a,noun,Example sentence with Nig_word2a.,4,Nigerian Pidgin-A2-u4-l2,Lesson 2 — Practice
Nig_word2b,meaning 2b,verb,Example sentence with Nig_word2b.,4,Nigerian Pidgin-A2-u4-l2,Lesson 2 — Practice
Nig_word3a,meaning 3a,noun,Example sentence with Nig_word3a.,4,Nigerian Pidgin-A2-u4-l3,Lesson 3 — Dialogue
Nig_word3b,meaning 3b,verb,Example sentence with Nig_word3b.,4,Nigerian Pidgin-A2-u4-l3,Lesson 3 — Dialogue
Nig_word4a,meaning 4a,noun,Example sentence with Nig_word4a.,4,Nigerian Pidgin-A2-u4-l4,Lesson 4 — Pronunciation
Nig_word4b,meaning 4b,verb,Example sentence with Nig_word4b.,4,Nigerian Pidgin-A2-u4-l4,Lesson 4 — Pronunciation
Nig_word5a,meaning 5a,noun,Example sentence with Nig_word5a.,4,Nigerian Pidgin-A2-u4-l5,Lesson 5 — Culture
Nig_word5b,meaning 5b,verb,Example sentence with Nig_word5b.,4,Nigerian Pidgin-A2-u4-l5,Lesson 5 — Culture
Nig_word6a,meaning 6a,noun,Example sentence with Nig_word6a.,4,Nigerian Pidgin-A2-u4-l6,Lesson 6 — Review
Nig_word6b,meaning 6b,verb,Example sentence with Nig_word6b.,4,Nigerian Pidgin-A2-u4-l6,Lesson 6 — Review
Nig_word1a,meaning 1a,noun,Example sentence with Nig_word1a.,5,Nigerian Pidgin-A2-u5-l1,Lesson 1 — Basics
Nig_word1b,meaning 1b,verb,Example sentence with Nig_word1b.,5,Nigerian Pidgin-A2-u5-l1,Lesson 1 — Basics
Nig_word2a,meaning 2a,noun,Example sentence with Nig_word2a.,5,Nigerian Pidgin-A2-u5-l2,Lesson 2 — Practice
Nig_word2b,meaning 2b,verb,Example sentence with Nig_word2b.,5,Nigerian Pidgin-A2-u5-l2,Lesson 2 — Practice
Nig_word3a,meaning 3a,noun,Example sentence with Nig_word3a.,5,Nigerian Pidgin-A2-u5-l3,Lesson 3 — Dialogue
Nig_word3b,meaning 3b,verb,Example sentence with Nig_word3b.,5,Nigerian Pidgin-A2-u5-l3,Lesson 3 — Dialogue
Nig_word4a,meaning 4a,noun,Example sentence with Nig_word4a.,5,Nigerian Pidgin-A2-u5-l4,Lesson 4 — Pronunciation
Nig_word4b,meaning 4b,verb,Example sentence with Nig_word4b.,5,Nigerian Pidgin-A2-u5-l4,Lesson 4 — Pronunciation
Nig_word5a,meaning 5a,noun,Example sentence with Nig_word5a.,5,Nigerian Pidgin-A2-u5-l5,Lesson 5 — Culture
Nig_word5b,meaning 5b,verb,Example sentence with Nig_word5b.,5,Nigerian Pidgin-A2-u5-l5,Lesson 5 — Culture
Nig_word6a,meaning 6a,noun,Example sentence with Nig_word6a.,5,Nigerian Pidgin-A2-u5-l6,Lesson 6 — Review
Nig_word6b,meaning 6b,verb,Example sentence with Nig_word6b.,5,Nigerian Pidgin-A2-u5-l6,Lesson 6 — Review
Nig_word1a,meaning 1a,noun,Example sentence with Nig_word1a.,6,Nigerian Pidgin-A2-u6-l1,Lesson 1 — Basics
Nig_word1b,meaning 1b,verb,Example sentence with Nig_word1b.,6,Nigerian Pidgin-A2-u6-l1,Lesson 1 — Basics
Nig_word2a,meaning 2a,noun,Example sentence with Nig_word2a.,6,Nigerian Pidgin-A2-u6-l2,Lesson 2 — Practice
Nig_word2b,meaning 2b,verb,Example sentence with Nig_word2b.,6,Nigerian Pidgin-A2-u6-l2,Lesson 2 — Practice
Nig_word3a,meaning 3a,noun,Example sentence with Nig_word3a.,6,Nigerian Pidgin-A2-u6-l3,Lesson 3 — Dialogue
Nig_word3b,meaning 3b,verb,Example sentence with Nig_word3b.,6,Nigerian Pidgin-A2-u6-l3,Lesson 3 — Dialogue
Nig_word4a,meaning 4a,noun,Example sentence with Nig_word4a.,6,Nigerian Pidgin-A2-u6-l4,Lesson 4 — Pronunciation
Nig_word4b,meaning 4b,verb,Example sentence with Nig_word4b.,6,Nigerian Pidgin-A2-u6-l4,Lesson 4 — Pronunciation
Nig_word5a,meaning 5a,noun,Example sentence with Nig_word5a.,6,Nigerian Pidgin-A2-u6-l5,Lesson 5 — Culture
Nig_word5b,meaning 5b,verb,Example sentence with Nig_word5b.,6,Nigerian Pidgin-A2-u6-l5,Lesson 5 — Culture
Nig_word6a,meaning 6a,noun,Example sentence with Nig_word6a.,6,Nigerian Pidgin-A2-u6-l6,Lesson 6 — Review
Nig_word6b,meaning 6b,verb,Example sentence with Nig_word6b.,6,Nigerian Pidgin-A2-u6-l6,Lesson 6 — Review
Nig_word1a,meaning 1a,noun,Example sentence with Nig_word1a.,7,Nigerian Pidgin-A2-u7-l1,Lesson 1 — Basics
Nig_word1b,meaning 1b,verb,Example sentence with Nig_word1b.,7,Nigerian Pidgin-A2-u7-l1,Lesson 1 — Basics
Nig_word2a,meaning 2a,noun,Example sentence with Nig_word2a.,7,Nigerian Pidgin-A2-u7-l2,Lesson 2 — Practice
Nig_word2b,meaning 2b,verb,Example sentence with Nig_word2b.,7,Nigerian Pidgin-A2-u7-l2,Lesson 2 — Practice
Nig_word3a,meaning 3a,noun,Example sentence with Nig_word3a.,7,Nigerian Pidgin-A2-u7-l3,Lesson 3 — Dialogue
Nig_word3b,meaning 3b,verb,Example sentence with Nig_word3b.,7,Nigerian Pidgin-A2-u7-l3,Lesson 3 — Dialogue
Nig_word4a,meaning 4a,noun,Example sentence with Nig_word4a.,7,Nigerian Pidgin-A2-u7-l4,Lesson 4 — Pronunciation
Nig_word4b,meaning 4b,verb,Example sentence with Nig_word4b.,7,Nigerian Pidgin-A2-u7-l4,Lesson 4 — Pronunciation
Nig_word5a,meaning 5a,noun,Example sentence with Nig_word5a.,7,Nigerian Pidgin-A2-u7-l5,Lesson 5 — Culture
Nig_word5b,meaning 5b,verb,Example sentence with Nig_word5b.,7,Nigerian Pidgin-A2-u7-l5,Lesson 5 — Culture
Nig_word6a,meaning 6a,noun,Example sentence with Nig_word6a.,7,Nigerian Pidgin-A2-u7-l6,Lesson 6 — Review
Nig_word6b,meaning 6b,verb,Example sentence with Nig_word6b.,7,Nigerian Pidgin-A2-u7-l6,Lesson 6 — Review
Nig_word1a,meaning 1a,noun,Example sentence with Nig_word1a.,8,Nigerian Pidgin-A2-u8-l1,Lesson 1 — Basics
Nig_word1b,meaning 1b,verb,Example sentence with Nig_word1b.,8,Nigerian Pidgin-A2-u8-l1,Lesson 1 — Basics
Nig_word2a,meaning 2a,noun,Example sentence with Nig_word2a.,8,Nigerian Pidgin-A2-u8-l2,Lesson 2 — Practice
Nig_word2b,meaning 2b,verb,Example sentence with Nig_word2b.,8,Nigerian Pidgin-A2-u8-l2,Lesson 2 — Practice
Nig_word3a,meaning 3a,noun,Example sentence with Nig_word3a.,8,Nigerian Pidgin-A2-u8-l3,Lesson 3 — Dialogue
Nig_word3b,meaning 3b,verb,Example sentence with Nig_word3b.,8,Nigerian Pidgin-A2-u8-l3,Lesson 3 — Dialogue
Nig_word4a,meaning 4a,noun,Example sentence with Nig_word4a.,8,Nigerian Pidgin-A2-u8-l4,Lesson 4 — Pronunciation
Nig_word4b,meaning 4b,verb,Example sentence with Nig_word4b.,8,Nigerian Pidgin-A2-u8-l4,Lesson 4 — Pronunciation
Nig_word5a,meaning 5a,noun,Example sentence with Nig_word5a.,8,Nigerian Pidgin-A2-u8-l5,Lesson 5 — Culture
Nig_word5b,meaning 5b,verb,Example sentence with Nig_word5b.,8,Nigerian Pidgin-A2-u8-l5,Lesson 5 — Culture
Nig_word6a,meaning 6a,noun,Example sentence with Nig_word6a.,8,Nigerian Pidgin-A2-u8-l6,Lesson 6 — Review
Nig_word6b,meaning 6b,verb,Example sentence with Nig_word6b.,8,Nigerian Pidgin-A2-u8-l6,Lesson 6 — Review
Nig_word1a,meaning 1a,noun,Example sentence with Nig_word1a.,9,Nigerian Pidgin-A2-u9-l1,Lesson 1 — Basics
Nig_word1b,meaning 1b,verb,Example sentence with Nig_word1b.,9,Nigerian Pidgin-A2-u9-l1,Lesson 1 — Basics
Nig_word2a,meaning 2a,noun,Example sentence with Nig_word2a.,9,Nigerian Pidgin-A2-u9-l2,Lesson 2 — Practice
Nig_word2b,meaning 2b,verb,Example sentence with Nig_word2b.,9,Nigerian Pidgin-A2-u9-l2,Lesson 2 — Practice
Nig_word3a,meaning 3a,noun,Example sentence with Nig_word3a.,9,Nigerian Pidgin-A2-u9-l3,Lesson 3 — Dialogue
Nig_word3b,meaning 3b,verb,Example sentence with Nig_word3b.,9,Nigerian Pidgin-A2-u9-l3,Lesson 3 — Dialogue
Nig_word4a,meaning 4a,noun,Example sentence with Nig_word4a.,9,Nigerian Pidgin-A2-u9-l4,Lesson 4 — Pronunciation
Nig_word4b,meaning 4b,verb,Example sentence with Nig_word4b.,9,Nigerian Pidgin-A2-u9-l4,Lesson 4 — Pronunciation
Nig_word5a,meaning 5a,noun,Example sentence with Nig_word5a.,9,Nigerian Pidgin-A2-u9-l5,Lesson 5 — Culture
Nig_word5b,meaning 5b,verb,Example sentence with Nig_word5b.,9,Nigerian Pidgin-A2-u9-l5,Lesson 5 — Culture
Nig_word6a,meaning 6a,noun,Example sentence with Nig_word6a.,9,Nigerian Pidgin-A2-u9-l6,Lesson 6 — Review
Nig_word6b,meaning 6b,verb,Example sentence with Nig_word6b.,9,Nigerian Pidgin-A2-u9-l6,Lesson 6 — Review
Nig_word1a,meaning 1a,noun,Example sentence with Nig_word1a.,10,Nigerian Pidgin-A2-u10-l1,Lesson 1 — Basics
Nig_word1b,meaning 1b,verb,Example sentence with Nig_word1b.,10,Nigerian Pidgin-A2-u10-l1,Lesson 1 — Basics
Nig_word2a,meaning 2a,noun,Example sentence with Nig_word2a.,10,Nigerian Pidgin-A2-u10-l2,Lesson 2 — Practice
Nig_word2b,meaning 2b,verb,Example sentence with Nig_word2b.,10,Nigerian Pidgin-A2-u10-l2,Lesson 2 — Practice
Nig_word3a,meaning 3a,noun,Example sentence with Nig_word3a.,10,Nigerian Pidgin-A2-u10-l3,Lesson 3 — Dialogue
Nig_word3b,meaning 3b,verb,Example sentence with Nig_word3b.,10,Nigerian Pidgin-A2-u10-l3,Lesson 3 — Dialogue
Nig_word4a,meaning 4a,noun,Example sentence with Nig_word4a.,10,Nigerian Pidgin-A2-u10-l4,Lesson 4 — Pronunciation
Nig_word4b,meaning 4b,verb,Example sentence with Nig_word4b.,10,Nigerian Pidgin-A2-u10-l4,Lesson 4 — Pronunciation
Nig_word5a,meaning 5a,noun,Example sentence with Nig_word5a.,10,Nigerian Pidgin-A2-u10-l5,Lesson 5 — Culture
Nig_word5b,meaning 5b,verb,Example sentence with Nig_word5b.,10,Nigerian Pidgin-A2-u10-l5,Lesson 5 — Culture
Nig_word6a,meaning 6a,noun,Example sentence with Nig_word6a.,10,Nigerian Pidgin-A2-u10-l6,Lesson 6 — Review
Nig_word6b,meaning 6b,verb,Example sentence with Nig_word6b.,10,Nigerian Pidgin-A2-u10-l6,Lesson 6 — Review
Nig_word1a,meaning 1a,noun,Example sentence with Nig_word1a.,11,Nigerian Pidgin-A2-u11-l1,Lesson 1 — Basics
Nig_word1b,meaning 1b,verb,Example sentence with Nig_word1b.,11,Nigerian Pidgin-A2-u11-l1,Lesson 1 — Basics
Nig_word2a,meaning 2a,noun,Example sentence with Nig_word2a.,11,Nigerian Pidgin-A2-u11-l2,Lesson 2 — Practice
Nig_word2b,meaning 2b,verb,Example sentence with Nig_word2b.,11,Nigerian Pidgin-A2-u11-l2,Lesson 2 — Practice
Nig_word3a,meaning 3a,noun,Example sentence with Nig_word3a.,11,Nigerian Pidgin-A2-u11-l3,Lesson 3 — Dialogue
Nig_word3b,meaning 3b,verb,Example sentence with Nig_word3b.,11,Nigerian Pidgin-A2-u11-l3,Lesson 3 — Dialogue
Nig_word4a,meaning 4a,noun,Example sentence with Nig_word4a.,11,Nigerian Pidgin-A2-u11-l4,Lesson 4 — Pronunciation
Nig_word4b,meaning 4b,verb,Example sentence with Nig_word4b.,11,Nigerian Pidgin-A2-u11-l4,Lesson 4 — Pronunciation
Nig_word5a,meaning 5a,noun,Example sentence with Nig_word5a.,11,Nigerian Pidgin-A2-u11-l5,Lesson 5 — Culture
Nig_word5b,meaning 5b,verb,Example sentence with Nig_word5b.,11,Nigerian Pidgin-A2-u11-l5,Lesson 5 — Culture
Nig_word6a,meaning 6a,noun,Example sentence with Nig_word6a.,11,Nigerian Pidgin-A2-u11-l6,Lesson 6 — Review
Nig_word6b,meaning 6b,verb,Example sentence with Nig_word6b.,11,Nigerian Pidgin-A2-u11-l6,Lesson 6 — Review
Nig_word1a,meaning 1a,noun,Example sentence with Nig_word1a.,12,Nigerian Pidgin-A2-u12-l1,Lesson 1 — Basics
Nig_word1b,meaning 1b,verb,Example sentence with Nig_word1b.,12,Nigerian Pidgin-A2-u12-l1,Lesson 1 — Basics
Nig_word2a,meaning 2a,noun,Example sentence with Nig_word2a.,12,Nigerian Pidgin-A2-u12-l2,Lesson 2 — Practice
Nig_word2b,meaning 2b,verb,Example sentence with Nig_word2b.,12,Nigerian Pidgin-A2-u12-l2,Lesson 2 — Practice
Nig_word3a,meaning 3a,noun,Example sentence with Nig_word3a.,12,Nigerian Pidgin-A2-u12-l3,Lesson 3 — Dialogue
Nig_word3b,meaning 3b,verb,Example sentence with Nig_word3b.,12,Nigerian Pidgin-A2-u12-l3,Lesson 3 — Dialogue
Nig_word4a,meaning 4a,noun,Example sentence with Nig_word4a.,12,Nigerian Pidgin-A2-u12-l4,Lesson 4 — Pronunciation
Nig_word4b,meaning 4b,verb,Example sentence with Nig_word4b.,12,Nigerian Pidgin-A2-u12-l4,Lesson 4 — Pronunciation
Nig_word5a,meaning 5a,noun,Example sentence with Nig_word5a.,12,Nigerian Pidgin-A2-u12-l5,Lesson 5 — Culture
Nig_word5b,meaning 5b,verb,Example sentence with Nig_word5b.,12,Nigerian Pidgin-A2-u12-l5,Lesson 5 — Culture
Nig_word6a,meaning 6a,noun,Example sentence with Nig_word6a.,12,Nigerian Pidgin-A2-u12-l6,Lesson 6 — Review
Nig_word6b,meaning 6b,verb,Example sentence with Nig_word6b.,12,Nigerian Pidgin-A2-u12-l6,Lesson 6 — Review
