id,mode,language,level,scenario,prompt
tutor_auto_0016,tutor,german,intermediate,how are you? (to an elder),Explain the phrase 'How are you?' in German with grammar notes and a short dialogue of 2 lines for practice.
tutor_auto_0017,tutor,german,beginner,i am learning (formal),"Teach how to say 'I am learning' in German. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0018,tutor,portuguese,advanced,i am learning (formal),"Provide advanced usage of 'I am learning' in Portuguese, include register differences and 2 practice sentences."
tutor_auto_0019,tutor,swahili,beginner,thank you (at school),"Teach how to say 'Thank you' in Swahili. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0020,tutor,vietnamese,beginner,hello (in a shop),"Teach how to say 'Hello' in Vietnamese. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0021,tutor,arabic,advanced,how are you? (to an elder),"Provide advanced usage of 'How are you?' in Arabic, include register differences and 2 practice sentences."
tutor_auto_0022,tutor,swahili,beginner,thank you (in a shop),"Teach how to say 'Thank you' in Swahili. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0023,tutor,vietnamese,beginner,hello (to a stranger),"Teach how to say 'Hello' in Vietnamese. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0024,tutor,german,advanced,how are you? (at school),"Provide advanced usage of 'How are you?' in German, include register differences and 2 practice sentences."
tutor_auto_0025,tutor,spanish,intermediate,i am learning (to a friend),Explain the phrase 'I am learning' in Spanish with grammar notes and a short dialogue of 2 lines for practice.
tutor_auto_0026,tutor,portuguese,beginner,hello (at school),"Teach how to say 'Hello' in Portuguese. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0027,tutor,igbo,advanced,thank you (to a friend),"Provide advanced usage of 'Thank you' in Igbo, include register differences and 2 practice sentences."
tutor_auto_0028,tutor,vietnamese,beginner,i am learning (to an elder),"Teach how to say 'I am learning' in Vietnamese. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0029,tutor,spanish,advanced,i am learning (in the morning),"Provide advanced usage of 'I am learning' in Spanish, include register differences and 2 practice sentences."
tutor_auto_0030,tutor,arabic,advanced,thank you (at school),"Provide advanced usage of 'Thank you' in Arabic, include register differences and 2 practice sentences."
tutor_auto_0031,tutor,igbo,beginner,hello (formal),"Teach how to say 'Hello' in Igbo. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0032,tutor,german,advanced,thank you (to a friend),"Provide advanced usage of 'Thank you' in German, include register differences and 2 practice sentences."
tutor_auto_0033,tutor,portuguese,beginner,how are you? (in a shop),"Teach how to say 'How are you?' in Portuguese. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0034,tutor,yoruba,advanced,how are you? (formal),"Provide advanced usage of 'How are you?' in Yoruba, include register differences and 2 practice sentences."
tutor_auto_0035,tutor,portuguese,intermediate,i am learning (at school),Explain the phrase 'I am learning' in Portuguese with grammar notes and a short dialogue of 2 lines for practice.
tutor_auto_0036,tutor,hausa,intermediate,good morning (casual),Explain the phrase 'Good morning' in Hausa with grammar notes and a short dialogue of 2 lines for practice.
tutor_auto_0037,tutor,hausa,intermediate,thank you (in a shop),Explain the phrase 'Thank you' in Hausa with grammar notes and a short dialogue of 2 lines for practice.
tutor_auto_0038,tutor,arabic,intermediate,hello (casual),Explain the phrase 'Hello' in Arabic with grammar notes and a short dialogue of 2 lines for practice.
tutor_auto_0039,tutor,german,intermediate,thank you (in a shop),Explain the phrase 'Thank you' in German with grammar notes and a short dialogue of 2 lines for practice.
tutor_auto_0040,tutor,vietnamese,advanced,thank you (formal),"Provide advanced usage of 'Thank you' in Vietnamese, include register differences and 2 practice sentences."
tutor_auto_0041,tutor,swahili,intermediate,hello (formal),Explain the phrase 'Hello' in Swahili with grammar notes and a short dialogue of 2 lines for practice.
tutor_auto_0042,tutor,spanish,advanced,how are you? (in the morning),"Provide advanced usage of 'How are you?' in Spanish, include register differences and 2 practice sentences."
tutor_auto_0043,tutor,portuguese,advanced,how are you? (formal),"Provide advanced usage of 'How are you?' in Portuguese, include register differences and 2 practice sentences."
tutor_auto_0044,tutor,french,intermediate,hello (in a shop),Explain the phrase 'Hello' in French with grammar notes and a short dialogue of 2 lines for practice.
tutor_auto_0045,tutor,spanish,beginner,how are you? (in a shop),"Teach how to say 'How are you?' in Spanish. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0046,tutor,yoruba,advanced,i am learning (at school),"Provide advanced usage of 'I am learning' in Yoruba, include register differences and 2 practice sentences."
tutor_auto_0047,tutor,yoruba,beginner,hello (formal),"Teach how to say 'Hello' in Yoruba. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0048,tutor,portuguese,advanced,thank you (to a stranger),"Provide advanced usage of 'Thank you' in Portuguese, include register differences and 2 practice sentences."
tutor_auto_0049,tutor,yoruba,intermediate,good morning (at school),Explain the phrase 'Good morning' in Yoruba with grammar notes and a short dialogue of 2 lines for practice.
tutor_auto_0050,tutor,swahili,advanced,good morning (to a friend),"Provide advanced usage of 'Good morning' in Swahili, include register differences and 2 practice sentences."
tutor_auto_0051,tutor,hausa,beginner,how are you? (to a stranger),"Teach how to say 'How are you?' in Hausa. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0052,tutor,igbo,beginner,good morning (formal),"Teach how to say 'Good morning' in Igbo. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0053,tutor,arabic,advanced,how are you? (to an elder),"Provide advanced usage of 'How are you?' in Arabic, include register differences and 2 practice sentences."
tutor_auto_0054,tutor,yoruba,intermediate,i am learning (formal),Explain the phrase 'I am learning' in Yoruba with grammar notes and a short dialogue of 2 lines for practice.
tutor_auto_0055,tutor,hausa,intermediate,i am learning (to a friend),Explain the phrase 'I am learning' in Hausa with grammar notes and a short dialogue of 2 lines for practice.
tutor_auto_0056,tutor,spanish,beginner,thank you (casual),"Teach how to say 'Thank you' in Spanish. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0057,tutor,german,intermediate,i am learning (in a shop),Explain the phrase 'I am learning' in German with grammar notes and a short dialogue of 2 lines for practice.
tutor_auto_0058,tutor,portuguese,advanced,i am learning (to a stranger),"Provide advanced usage of 'I am learning' in Portuguese, include register differences and 2 practice sentences."
tutor_auto_0059,tutor,swahili,beginner,i am learning (in the morning),"Teach how to say 'I am learning' in Swahili. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0060,tutor,igbo,intermediate,how are you? (casual),Explain the phrase 'How are you?' in Igbo with grammar notes and a short dialogue of 2 lines for practice.
tutor_auto_0061,tutor,german,advanced,how are you? (in a shop),"Provide advanced usage of 'How are you?' in German, include register differences and 2 practice sentences."
tutor_auto_0062,tutor,portuguese,advanced,how are you? (to an elder),"Provide advanced usage of 'How are you?' in Portuguese, include register differences and 2 practice sentences."
tutor_auto_0063,tutor,arabic,intermediate,hello (to a friend),Explain the phrase 'Hello' in Arabic with grammar notes and a short dialogue of 2 lines for practice.
tutor_auto_0064,tutor,yoruba,advanced,how are you? (formal),"Provide advanced usage of 'How are you?' in Yoruba, include register differences and 2 practice sentences."
tutor_auto_0065,tutor,portuguese,intermediate,i am learning (to a stranger),Explain the phrase 'I am learning' in Portuguese with grammar notes and a short dialogue of 2 lines for practice.
tutor_auto_0066,tutor,spanish,advanced,hello (formal),"Provide advanced usage of 'Hello' in Spanish, include register differences and 2 practice sentences."
tutor_auto_0067,tutor,igbo,beginner,thank you (to a stranger),"Teach how to say 'Thank you' in Igbo. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0068,tutor,hausa,advanced,hello (to an elder),"Provide advanced usage of 'Hello' in Hausa, include register differences and 2 practice sentences."
tutor_auto_0069,tutor,igbo,intermediate,hello (in the morning),Explain the phrase 'Hello' in Igbo with grammar notes and a short dialogue of 2 lines for practice.
tutor_auto_0070,tutor,swahili,intermediate,thank you (to an elder),Explain the phrase 'Thank you' in Swahili with grammar notes and a short dialogue of 2 lines for practice.
tutor_auto_0071,tutor,arabic,intermediate,i am learning (formal),Explain the phrase 'I am learning' in Arabic with grammar notes and a short dialogue of 2 lines for practice.
tutor_auto_0072,tutor,arabic,advanced,i am learning (to a stranger),"Provide advanced usage of 'I am learning' in Arabic, include register differences and 2 practice sentences."
tutor_auto_0073,tutor,arabic,beginner,hello (to a friend),"Teach how to say 'Hello' in Arabic. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0074,tutor,spanish,advanced,thank you (to a friend),"Provide advanced usage of 'Thank you' in Spanish, include register differences and 2 practice sentences."
tutor_auto_0075,tutor,german,advanced,i am learning (to an elder),"Provide advanced usage of 'I am learning' in German, include register differences and 2 practice sentences."
tutor_auto_0076,tutor,vietnamese,beginner,hello (in a shop),"Teach how to say 'Hello' in Vietnamese. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0077,tutor,igbo,beginner,i am learning (at school),"Teach how to say 'I am learning' in Igbo. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0078,tutor,swahili,beginner,how are you? (casual),"Teach how to say 'How are you?' in Swahili. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0079,tutor,french,advanced,good morning (casual),"Provide advanced usage of 'Good morning' in French, include register differences and 2 practice sentences."
tutor_auto_0080,tutor,yoruba,beginner,i am learning (formal),"Teach how to say 'I am learning' in Yoruba. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0081,tutor,swahili,intermediate,hello (formal),Explain the phrase 'Hello' in Swahili with grammar notes and a short dialogue of 2 lines for practice.
tutor_auto_0082,tutor,german,advanced,good morning (to a friend),"Provide advanced usage of 'Good morning' in German, include register differences and 2 practice sentences."
tutor_auto_0083,tutor,vietnamese,advanced,hello (in the morning),"Provide advanced usage of 'Hello' in Vietnamese, include register differences and 2 practice sentences."
tutor_auto_0084,tutor,swahili,beginner,i am learning (to a stranger),"Teach how to say 'I am learning' in Swahili. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0085,tutor,igbo,advanced,good morning (at school),"Provide advanced usage of 'Good morning' in Igbo, include register differences and 2 practice sentences."
tutor_auto_0086,tutor,vietnamese,intermediate,good morning (in the morning),Explain the phrase 'Good morning' in Vietnamese with grammar notes and a short dialogue of 2 lines for practice.
tutor_auto_0087,tutor,spanish,beginner,thank you (casual),"Teach how to say 'Thank you' in Spanish. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0088,tutor,portuguese,beginner,how are you? (at school),"Teach how to say 'How are you?' in Portuguese. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0089,tutor,vietnamese,intermediate,good morning (casual),Explain the phrase 'Good morning' in Vietnamese with grammar notes and a short dialogue of 2 lines for practice.
tutor_auto_0090,tutor,french,beginner,i am learning (in the morning),"Teach how to say 'I am learning' in French. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0091,tutor,french,intermediate,good morning (formal),Explain the phrase 'Good morning' in French with grammar notes and a short dialogue of 2 lines for practice.
tutor_auto_0092,tutor,vietnamese,advanced,good morning (in the morning),"Provide advanced usage of 'Good morning' in Vietnamese, include register differences and 2 practice sentences."
tutor_auto_0093,tutor,yoruba,beginner,how are you? (in the morning),"Teach how to say 'How are you?' in Yoruba. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0094,tutor,vietnamese,beginner,thank you (to a friend),"Teach how to say 'Thank you' in Vietnamese. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0095,tutor,arabic,beginner,i am learning (at school),"Teach how to say 'I am learning' in Arabic. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0096,tutor,spanish,advanced,i am learning (to a friend),"Provide advanced usage of 'I am learning' in Spanish, include register differences and 2 practice sentences."
tutor_auto_0097,tutor,igbo,beginner,how are you? (to an elder),"Teach how to say 'How are you?' in Igbo. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0098,tutor,portuguese,advanced,good morning (to a friend),"Provide advanced usage of 'Good morning' in Portuguese, include register differences and 2 practice sentences."
tutor_auto_0099,tutor,spanish,advanced,how are you? (in the morning),"Provide advanced usage of 'How are you?' in Spanish, include register differences and 2 practice sentences."
tutor_auto_0100,tutor,vietnamese,intermediate,good morning (at school),Explain the phrase 'Good morning' in Vietnamese with grammar notes and a short dialogue of 2 lines for practice.
tutor_auto_0101,tutor,arabic,intermediate,how are you? (at school),Explain the phrase 'How are you?' in Arabic with grammar notes and a short dialogue of 2 lines for practice.
tutor_auto_0102,tutor,yoruba,intermediate,hello (at school),Explain the phrase 'Hello' in Yoruba with grammar notes and a short dialogue of 2 lines for practice.
tutor_auto_0103,tutor,yoruba,intermediate,thank you (casual),Explain the phrase 'Thank you' in Yoruba with grammar notes and a short dialogue of 2 lines for practice.
tutor_auto_0104,tutor,vietnamese,advanced,how are you? (formal),"Provide advanced usage of 'How are you?' in Vietnamese, include register differences and 2 practice sentences."
tutor_auto_0105,tutor,arabic,advanced,thank you (in the morning),"Provide advanced usage of 'Thank you' in Arabic, include register differences and 2 practice sentences."
tutor_auto_0106,tutor,german,intermediate,good morning (in a shop),Explain the phrase 'Good morning' in German with grammar notes and a short dialogue of 2 lines for practice.
tutor_auto_0107,tutor,vietnamese,advanced,hello (to a friend),"Provide advanced usage of 'Hello' in Vietnamese, include register differences and 2 practice sentences."
tutor_auto_0108,tutor,yoruba,beginner,thank you (at school),"Teach how to say 'Thank you' in Yoruba. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0109,tutor,igbo,beginner,thank you (casual),"Teach how to say 'Thank you' in Igbo. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0110,tutor,vietnamese,intermediate,i am learning (in the morning),Explain the phrase 'I am learning' in Vietnamese with grammar notes and a short dialogue of 2 lines for practice.
tutor_auto_0111,tutor,arabic,beginner,i am learning (formal),"Teach how to say 'I am learning' in Arabic. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0112,tutor,german,intermediate,hello (casual),Explain the phrase 'Hello' in German with grammar notes and a short dialogue of 2 lines for practice.
tutor_auto_0113,tutor,portuguese,intermediate,hello (to a friend),Explain the phrase 'Hello' in Portuguese with grammar notes and a short dialogue of 2 lines for practice.
tutor_auto_0114,tutor,hausa,advanced,hello (casual),"Provide advanced usage of 'Hello' in Hausa, include register differences and 2 practice sentences."
tutor_auto_0115,tutor,yoruba,beginner,thank you (in the morning),"Teach how to say 'Thank you' in Yoruba. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0116,tutor,portuguese,advanced,how are you? (to a stranger),"Provide advanced usage of 'How are you?' in Portuguese, include register differences and 2 practice sentences."
tutor_auto_0117,tutor,french,intermediate,how are you? (formal),Explain the phrase 'How are you?' in French with grammar notes and a short dialogue of 2 lines for practice.
tutor_auto_0118,tutor,vietnamese,beginner,how are you? (in the morning),"Teach how to say 'How are you?' in Vietnamese. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0119,tutor,french,beginner,i am learning (in the morning),"Teach how to say 'I am learning' in French. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0120,tutor,hausa,intermediate,i am learning (to a stranger),Explain the phrase 'I am learning' in Hausa with grammar notes and a short dialogue of 2 lines for practice.
tutor_auto_0121,tutor,swahili,beginner,how are you? (to an elder),"Teach how to say 'How are you?' in Swahili. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0122,tutor,arabic,intermediate,how are you? (in the morning),Explain the phrase 'How are you?' in Arabic with grammar notes and a short dialogue of 2 lines for practice.
tutor_auto_0123,tutor,spanish,beginner,thank you (formal),"Teach how to say 'Thank you' in Spanish. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0124,tutor,vietnamese,intermediate,hello (in a shop),Explain the phrase 'Hello' in Vietnamese with grammar notes and a short dialogue of 2 lines for practice.
tutor_auto_0125,tutor,vietnamese,beginner,thank you (formal),"Teach how to say 'Thank you' in Vietnamese. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0126,tutor,yoruba,beginner,thank you (to a stranger),"Teach how to say 'Thank you' in Yoruba. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0127,tutor,hausa,intermediate,i am learning (casual),Explain the phrase 'I am learning' in Hausa with grammar notes and a short dialogue of 2 lines for practice.
tutor_auto_0128,tutor,french,intermediate,how are you? (to a stranger),Explain the phrase 'How are you?' in French with grammar notes and a short dialogue of 2 lines for practice.
tutor_auto_0129,tutor,arabic,beginner,i am learning (to a friend),"Teach how to say 'I am learning' in Arabic. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0130,tutor,arabic,advanced,good morning (casual),"Provide advanced usage of 'Good morning' in Arabic, include register differences and 2 practice sentences."
tutor_auto_0131,tutor,french,beginner,i am learning (to an elder),"Teach how to say 'I am learning' in French. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0132,tutor,yoruba,beginner,how are you? (to a stranger),"Teach how to say 'How are you?' in Yoruba. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0133,tutor,igbo,beginner,i am learning (formal),"Teach how to say 'I am learning' in Igbo. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0134,tutor,swahili,beginner,hello (to an elder),"Teach how to say 'Hello' in Swahili. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0135,tutor,portuguese,beginner,hello (to a friend),"Teach how to say 'Hello' in Portuguese. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0136,tutor,swahili,beginner,hello (to a friend),"Teach how to say 'Hello' in Swahili. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0137,tutor,hausa,advanced,good morning (casual),"Provide advanced usage of 'Good morning' in Hausa, include register differences and 2 practice sentences."
tutor_auto_0138,tutor,french,intermediate,thank you (in the morning),Explain the phrase 'Thank you' in French with grammar notes and a short dialogue of 2 lines for practice.
tutor_auto_0139,tutor,yoruba,beginner,hello (in a shop),"Teach how to say 'Hello' in Yoruba. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0140,tutor,spanish,advanced,thank you (in the morning),"Provide advanced usage of 'Thank you' in Spanish, include register differences and 2 practice sentences."
tutor_auto_0141,tutor,hausa,beginner,i am learning (to a stranger),"Teach how to say 'I am learning' in Hausa. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0142,tutor,hausa,beginner,hello (to a stranger),"Teach how to say 'Hello' in Hausa. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0143,tutor,german,beginner,hello (formal),"Teach how to say 'Hello' in German. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0144,tutor,german,beginner,hello (to an elder),"Teach how to say 'Hello' in German. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0145,tutor,yoruba,beginner,how are you? (formal),"Teach how to say 'How are you?' in Yoruba. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0146,tutor,hausa,intermediate,how are you? (in a shop),Explain the phrase 'How are you?' in Hausa with grammar notes and a short dialogue of 2 lines for practice.
tutor_auto_0147,tutor,french,beginner,i am learning (at school),"Teach how to say 'I am learning' in French. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0148,tutor,portuguese,beginner,hello (in a shop),"Teach how to say 'Hello' in Portuguese. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0149,tutor,swahili,advanced,hello (formal),"Provide advanced usage of 'Hello' in Swahili, include register differences and 2 practice sentences."
tutor_auto_0150,tutor,portuguese,intermediate,hello (to a friend),Explain the phrase 'Hello' in Portuguese with grammar notes and a short dialogue of 2 lines for practice.
tutor_auto_0151,tutor,arabic,intermediate,i am learning (in the morning),Explain the phrase 'I am learning' in Arabic with grammar notes and a short dialogue of 2 lines for practice.
tutor_auto_0152,tutor,arabic,beginner,how are you? (to a friend),"Teach how to say 'How are you?' in Arabic. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0153,tutor,igbo,advanced,how are you? (at school),"Provide advanced usage of 'How are you?' in Igbo, include register differences and 2 practice sentences."
tutor_auto_0154,tutor,spanish,advanced,thank you (at school),"Provide advanced usage of 'Thank you' in Spanish, include register differences and 2 practice sentences."
tutor_auto_0155,tutor,swahili,intermediate,i am learning (formal),Explain the phrase 'I am learning' in Swahili with grammar notes and a short dialogue of 2 lines for practice.
tutor_auto_0156,tutor,hausa,advanced,thank you (in the morning),"Provide advanced usage of 'Thank you' in Hausa, include register differences and 2 practice sentences."
tutor_auto_0157,tutor,arabic,beginner,how are you? (in the morning),"Teach how to say 'How are you?' in Arabic. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0158,tutor,portuguese,advanced,good morning (casual),"Provide advanced usage of 'Good morning' in Portuguese, include register differences and 2 practice sentences."
tutor_auto_0159,tutor,arabic,beginner,i am learning (in a shop),"Teach how to say 'I am learning' in Arabic. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0160,tutor,french,beginner,hello (at school),"Teach how to say 'Hello' in French. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0161,tutor,portuguese,advanced,i am learning (to an elder),"Provide advanced usage of 'I am learning' in Portuguese, include register differences and 2 practice sentences."
tutor_auto_0162,tutor,portuguese,beginner,good morning (to an elder),"Teach how to say 'Good morning' in Portuguese. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0163,tutor,french,beginner,good morning (to a friend),"Teach how to say 'Good morning' in French. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0164,tutor,german,advanced,how are you? (to an elder),"Provide advanced usage of 'How are you?' in German, include register differences and 2 practice sentences."
tutor_auto_0165,tutor,arabic,beginner,how are you? (to an elder),"Teach how to say 'How are you?' in Arabic. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0166,tutor,swahili,intermediate,how are you? (in a shop),Explain the phrase 'How are you?' in Swahili with grammar notes and a short dialogue of 2 lines for practice.
tutor_auto_0167,tutor,spanish,advanced,how are you? (at school),"Provide advanced usage of 'How are you?' in Spanish, include register differences and 2 practice sentences."
tutor_auto_0168,tutor,german,beginner,good morning (casual),"Teach how to say 'Good morning' in German. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0169,tutor,spanish,intermediate,good morning (in the morning),Explain the phrase 'Good morning' in Spanish with grammar notes and a short dialogue of 2 lines for practice.
tutor_auto_0170,tutor,french,advanced,i am learning (at school),"Provide advanced usage of 'I am learning' in French, include register differences and 2 practice sentences."
tutor_auto_0171,tutor,igbo,advanced,thank you (in a shop),"Provide advanced usage of 'Thank you' in Igbo, include register differences and 2 practice sentences."
tutor_auto_0172,tutor,german,beginner,good morning (casual),"Teach how to say 'Good morning' in German. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0173,tutor,vietnamese,beginner,how are you? (casual),"Teach how to say 'How are you?' in Vietnamese. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0174,tutor,german,intermediate,hello (to a friend),Explain the phrase 'Hello' in German with grammar notes and a short dialogue of 2 lines for practice.
tutor_auto_0175,tutor,arabic,beginner,i am learning (to a friend),"Teach how to say 'I am learning' in Arabic. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0176,tutor,vietnamese,advanced,i am learning (to a friend),"Provide advanced usage of 'I am learning' in Vietnamese, include register differences and 2 practice sentences."
tutor_auto_0177,tutor,portuguese,beginner,i am learning (in the morning),"Teach how to say 'I am learning' in Portuguese. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0178,tutor,igbo,beginner,hello (in a shop),"Teach how to say 'Hello' in Igbo. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0179,tutor,vietnamese,beginner,thank you (to a stranger),"Teach how to say 'Thank you' in Vietnamese. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0180,tutor,vietnamese,beginner,thank you (to an elder),"Teach how to say 'Thank you' in Vietnamese. Provide phrase, pronunciation, word breakdown, and a 1-line cultural note."
tutor_auto_0181,tutor,french,intermediate,i am learning (to a friend),Explain the phrase 'I am learning' in French with grammar notes and a short dialogue of 2 lines for practice.
tutor_auto_0182,tutor,spanish,intermediate,how are you? (in the morning),Explain the phrase 'How are you?' in Spanish with grammar notes and a short dialogue of 2 lines for practice.
tutor_auto_0183,tutor,german,intermediate,good morning (to an elder),Explain the phrase 'Good morning' in German with grammar notes and a short dialogue of 2 lines for practice.
tutor_auto_0184,tutor,french,advanced,how are you? (in the morning),"Provide advanced usage of 'How are you?' in French, include register differences and 2 practice sentences."
